date,station_name,river_name,station_code,variable,value,unit,source_sheet_index
2022-06-29,松浦大桥,黄浦江,63401120,flow,394.0,m3/s,2
2022-06-30,松浦大桥,黄浦江,63401120,flow,404.0,m3/s,2
2022-07-01,松浦大桥,黄浦江,63401120,flow,438.0,m3/s,2
2022-07-02,松浦大桥,黄浦江,63401120,flow,267.0,m3/s,2
2022-07-03,松浦大桥,黄浦江,63401120,flow,330.0,m3/s,2
2022-07-04,松浦大桥,黄浦江,63401120,flow,292.0,m3/s,2
2022-07-05,松浦大桥,黄浦江,63401120,flow,286.0,m3/s,2
2022-07-06,松浦大桥,黄浦江,63401120,flow,479.0,m3/s,2
2022-07-07,松浦大桥,黄浦江,63401120,flow,437.0,m3/s,2
2022-07-08,松浦大桥,黄浦江,63401120,flow,380.0,m3/s,2
2022-07-09,松浦大桥,黄浦江,63401120,flow,594.0,m3/s,2
2022-07-10,松浦大桥,黄浦江,63401120,flow,453.0,m3/s,2
2022-07-11,松浦大桥,黄浦江,63401120,flow,407.0,m3/s,2
2022-07-12,松浦大桥,黄浦江,63401120,flow,362.0,m3/s,2
2022-07-13,松浦大桥,黄浦江,63401120,flow,381.0,m3/s,2
2022-07-14,松浦大桥,黄浦江,63401120,flow,110.0,m3/s,2
2022-07-15,松浦大桥,黄浦江,63401120,flow,127.0,m3/s,2
2022-07-16,松浦大桥,黄浦江,63401120,flow,67.5,m3/s,2
2022-07-17,松浦大桥,黄浦江,63401120,flow,147.0,m3/s,2
2022-07-18,松浦大桥,黄浦江,63401120,flow,313.0,m3/s,2
2022-07-19,松浦大桥,黄浦江,63401120,flow,348.0,m3/s,2
2022-07-20,松浦大桥,黄浦江,63401120,flow,569.0,m3/s,2
2022-07-21,松浦大桥,黄浦江,63401120,flow,567.0,m3/s,2
2022-07-22,松浦大桥,黄浦江,63401120,flow,784.0,m3/s,2
2022-07-23,松浦大桥,黄浦江,63401120,flow,912.0,m3/s,2
2022-07-24,松浦大桥,黄浦江,63401120,flow,573.0,m3/s,2
2022-07-25,松浦大桥,黄浦江,63401120,flow,614.0,m3/s,2
2022-07-26,松浦大桥,黄浦江,63401120,flow,561.0,m3/s,2
2022-07-27,松浦大桥,黄浦江,63401120,flow,427.0,m3/s,2
2022-07-28,松浦大桥,黄浦江,63401120,flow,293.0,m3/s,2
2022-07-29,松浦大桥,黄浦江,63401120,flow,181.0,m3/s,2
2022-07-30,松浦大桥,黄浦江,63401120,flow,128.0,m3/s,2
2022-07-31,松浦大桥,黄浦江,63401120,flow,223.0,m3/s,2
2022-08-01,松浦大桥,黄浦江,63401120,flow,169.0,m3/s,2
2022-08-02,松浦大桥,黄浦江,63401120,flow,182.0,m3/s,2
2022-08-03,松浦大桥,黄浦江,63401120,flow,301.0,m3/s,2
2022-08-04,松浦大桥,黄浦江,63401120,flow,396.0,m3/s,2
2022-08-05,松浦大桥,黄浦江,63401120,flow,508.0,m3/s,2
2022-08-06,松浦大桥,黄浦江,63401120,flow,516.0,m3/s,2
2022-08-07,松浦大桥,黄浦江,63401120,flow,635.0,m3/s,2
2022-08-08,松浦大桥,黄浦江,63401120,flow,785.0,m3/s,2
2022-08-09,松浦大桥,黄浦江,63401120,flow,669.0,m3/s,2
2022-08-10,松浦大桥,黄浦江,63401120,flow,396.0,m3/s,2
2022-08-11,松浦大桥,黄浦江,63401120,flow,228.0,m3/s,2
2022-08-12,松浦大桥,黄浦江,63401120,flow,22.2,m3/s,2
2022-08-13,松浦大桥,黄浦江,63401120,flow,-31.1,m3/s,2
2022-08-14,松浦大桥,黄浦江,63401120,flow,-48.8,m3/s,2
2022-08-15,松浦大桥,黄浦江,63401120,flow,123.0,m3/s,2
2022-08-16,松浦大桥,黄浦江,63401120,flow,96.8,m3/s,2
2022-08-17,松浦大桥,黄浦江,63401120,flow,293.0,m3/s,2
2022-08-18,松浦大桥,黄浦江,63401120,flow,320.0,m3/s,2
2022-08-19,松浦大桥,黄浦江,63401120,flow,628.0,m3/s,2
2022-08-20,松浦大桥,黄浦江,63401120,flow,578.0,m3/s,2
2022-08-21,松浦大桥,黄浦江,63401120,flow,771.0,m3/s,2
2022-08-22,松浦大桥,黄浦江,63401120,flow,847.0,m3/s,2
2022-08-23,松浦大桥,黄浦江,63401120,flow,436.0,m3/s,2
2022-08-24,松浦大桥,黄浦江,63401120,flow,354.0,m3/s,2
2022-08-25,松浦大桥,黄浦江,63401120,flow,359.0,m3/s,2
2022-08-26,松浦大桥,黄浦江,63401120,flow,306.0,m3/s,2
2022-08-27,松浦大桥,黄浦江,63401120,flow,321.0,m3/s,2
2022-08-28,松浦大桥,黄浦江,63401120,flow,204.0,m3/s,2
2022-08-29,松浦大桥,黄浦江,63401120,flow,176.0,m3/s,2
2022-08-30,松浦大桥,黄浦江,63401120,flow,173.0,m3/s,2
2022-08-31,松浦大桥,黄浦江,63401120,flow,230.0,m3/s,2
2022-09-01,松浦大桥,黄浦江,63401120,flow,189.0,m3/s,2
2022-09-02,松浦大桥,黄浦江,63401120,flow,9.5,m3/s,2
2022-09-03,松浦大桥,黄浦江,63401120,flow,280.0,m3/s,2
2022-09-04,松浦大桥,黄浦江,63401120,flow,381.0,m3/s,2
2022-09-05,松浦大桥,黄浦江,63401120,flow,616.0,m3/s,2
2022-09-06,松浦大桥,黄浦江,63401120,flow,732.0,m3/s,2
2022-09-07,松浦大桥,黄浦江,63401120,flow,1000.0,m3/s,2
2022-09-08,松浦大桥,黄浦江,63401120,flow,428.0,m3/s,2
2022-09-09,松浦大桥,黄浦江,63401120,flow,374.0,m3/s,2
2022-09-10,松浦大桥,黄浦江,63401120,flow,242.0,m3/s,2
2022-09-11,松浦大桥,黄浦江,63401120,flow,105.0,m3/s,2
2022-09-12,松浦大桥,黄浦江,63401120,flow,53.3,m3/s,2
2022-09-13,松浦大桥,黄浦江,63401120,flow,-80.7,m3/s,2
2022-09-14,松浦大桥,黄浦江,63401120,flow,-0.5,m3/s,2
2022-09-15,松浦大桥,黄浦江,63401120,flow,732.0,m3/s,2
2022-09-16,松浦大桥,黄浦江,63401120,flow,897.0,m3/s,2
2022-09-17,松浦大桥,黄浦江,63401120,flow,726.0,m3/s,2
2022-09-18,松浦大桥,黄浦江,63401120,flow,719.0,m3/s,2
2022-09-19,松浦大桥,黄浦江,63401120,flow,463.0,m3/s,2
2022-09-20,松浦大桥,黄浦江,63401120,flow,933.0,m3/s,2
